ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,46389,74145,,206,,,,0,2018,12
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,66534,,,,,,,2018,1
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,,,,,2370,,,2018,6
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,47922,,,,,,,,2021,6
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,116381,,,,2020,10
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,18686,,,,,,,2021,5
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,47507,10001,,,,546,,,2020,4
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,3534,,,2021,3
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,297205,,,,,,,,2018,7
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,2725,11874,,,,,,,2020,9
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,4889,,,2020,9
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,126,,,,2019,8
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,7224,,,2018,4
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,119,,,,2018,6
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,125,,,,2019,2
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,423,7628,4260,,,3194,,,2018,8
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,,177239,,,,,,,2018,10
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,34221,,,2020,9
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,,7802,,,,,,,2018,11
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,10447,,,,,,,2018,6
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,74149,131918,312795,,,27353,,,2020,2
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,81675,,,,,,,,2021,6
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,1514,58,,,,,,,2021,1
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL SOLIDO DIFER. DE CARBON,,,,,,81,,,2020,3
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,1452,,,2018,3
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,28735,,,,,,,2018,1
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,CONTENEDORES,412,2721,,,,5995,,,2019,4
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,6747,,,2021,3
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,177168,300439,453372,,,,,,2018,7
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL SOLIDO DIFER. DE CARBON,,21119,,,,2470,,,2019,3
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,6805,,,,,,,2018,11
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,28259,,,,,,,2020,2
TURBO,PROMOTORA BANANERA S.A,GENERAL,1228,,,,,,,,2021,1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,873,15583,,,,,,,2018,3
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,4000,,,,,,,2021,5
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,,8097,,,,,,,2021,3
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,1623,,,,,,,2019,12
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,38,213,,,,,,,2020,11
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,3774,,,2018,7
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,10738,,,,,,,2020,7
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,,,,,379,,,2020,8
BARRANQUILLA,PORTMAGDALENA S.A.,GRANEL LIQUIDO,7376,15284,,,10521,,,,2020,4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,34295,,,,,,,,2021,1
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,2474,,,2020,6
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,42056,64324,,26,,0,,1289,2020,9
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,186988,,,,,,,2018,3
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,88,196,,,541,,,2019,10
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,1512897,,,,,,,,2020,1
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,1691201,,,,,,,,2019,7
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GRANEL SOLIDO DIFER. DE CARBON,,5260,,,,2838,,,2019,8
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,1538,,,2021,3
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,47248,33077,809,,,110,,,2018,7
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,GRANEL LIQUIDO,,6613,,,,,,,2020,4
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,12226,41915,,,,,,,2020,8
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,6094,,,,,,,,2019,4
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,89934,,,,,,,2019,12
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,24241,,,,,,,2019,4
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,31678,1851,,,,,,2020,5
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,55742,96719,,,,,,,2021,2
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,145,,,,2018,11
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,5011,16665,,,,,,,2021,1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,133823,,,,,,,2018,8
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,10000,,,,,,,,2021,3
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,64969,,,,,,,,2019,10
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,36644,,,,,,,2018,11
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,25007,9348,,,,,,,2018,10
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,4322,20177,557,,,564,,,2020,3
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,112,24,,,,,,2019,3
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,27208,8687,,,,,,,2020,7
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,36065,,,,,,,,2021,2
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL SOLIDO DIFER. DE CARBON,1087,52363,,,,,,,2019,8
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,77065,,,,,,,2021,1
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,121878,,,,,,,2019,7
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,GRANEL LIQUIDO,,3022,,,,,,,2019,3
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,33,72049,,,,,,,2019,12
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,20,123,0,,,,,,2019,4
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,88969,,,,,,,,2018,3
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,5717,,,,24985,,,2020,3
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,61578,207898,,,,5784,,,2021,1
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,29418,,,,,,,2019,5
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,1332884,,,,,,,,2021,2
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,8963,,,2019,12
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,1,277,,,,,,,2021,3
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,113,,,,2020,2
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,CARBON AL GRANEL,14999,,,,,,,,2019,12
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,,254,,,55,,,2020,1
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,100,,,,5467,,,2020,12
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,5130,,,,,,,2018,11
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,39905,124373,,,,,,,2018,6
CARTAGENA,COREMAR SHOREBASE SA,GRANEL LIQUIDO,,,,,63,,,,2019,7
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,90107,,,,2020,9
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,72769,243927,,,,6921,,,2019,12
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,23329,61919,40,156,,276,,1018,2020,4
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,11700,,,,,1461,,,2020,6
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,8066,,,,,336,,,2018,4
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,706,,,2020,5
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,4822,,,2021,3
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,29055,,,,,,,,2021,5
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,122541,,,,,,,,2020,10
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,6174,,,,,,,2018,4
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GRANEL SOLIDO DIFER. DE CARBON,,5946,,,,,,,2021,1
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,8898,,,,,750,,,2020,11
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,7299,,,2019,5
TURBO,PROMOTORA BANANERA S.A,GENERAL,7,,,,,,,,2019,2
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,4598,,,,,5228,,,2020,5
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,10082,,,,,,,,2019,4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,1879,875,1,,,,,,2020,5
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,4199,,,,,,,2020,8
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,3746,,,2021,2
GUAJIRA,CERREJON ZONA NORTE S.A.,GENERAL,,3298,,,,,,,2018,11
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,405,,,,7211,,,2020,2
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL LIQUIDO,,37024,,,,,,,2019,7
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL LIQUIDO,,39,,,,,,,2019,2
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,64461,130848,4758,,,,,,2021,4
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GENERAL,,,,,4240,,,,2018,2
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,23235,156905,,,,3011,,,2021,6
GUAJIRA,CERREJON ZONA NORTE S.A.,GENERAL,,1798,,,,,,,2019,1
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,1463,5348,,,,,,,2019,1
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,43522,78112,23,29,,0,,375,2019,8
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,6883,,,,,,,,2020,9
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,52899,,,,2019,2
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,CARBON AL GRANEL,,,,,,31653,,,2019,3
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,214,,,,,,,2021,6
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,217,,,,,,,2020,11
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,132133,149348,1109884,,,50818,,,2020,6
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CARBON AL GRANEL,23735,,,,,,,,2019,11
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,37802,51838,82,245,,214,,1669,2020,6
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,,40181,,,2001,903,,,2019,9
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,12429,,,,,,,2018,9
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,CONTENEDORES,607,2415,,176,,6349,,,2018,4
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,72077,90156,270124,,,,,,2019,2
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,10290,,,,,,,2018,4
GUAJIRA,PUERTO BRISA S.A.,GENERAL,,22000,,,,,,,2019,7
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,2061,,,,409,,,2020,6
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,6803,,,,,,,,2020,7
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,41897,73780,,90,,,,0,2018,8
CARTAGENA,SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.,GRANEL LIQUIDO,,14938,,,,,,,2019,2
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,9201,,,,,1350,,,2020,4
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,1035442,,,,,,,,2019,5
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,128753,,,,,,,2018,12
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,20954,,,,,1681,,,2018,12
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,111802,,,,,,,2018,11
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,5500,55856,,,,,,,2021,1
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,34243,,,,,,,2018,5
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,114016,,,,,,,,2019,12
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,126222,62622,,,,69335,,,2020,4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,145025,,,,,,,2019,6
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,8257,,,,,1595,,,2020,12
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,20031,,,,,,,2018,8
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,,56,,,,,,,2018,7
BARRANQUILLA,ATUNAMAR LIMITADA,GENERAL,,,,,,3143,,,2018,11
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,23834,,,,,,,2020,8
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GRANEL SOLIDO DIFER. DE CARBON,,2819,,,,,,,2019,10
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,40869,25268,,,,,,,2019,2
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,13972,,,,,,,2019,2
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,5517,,,,,,,2020,12
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,890,,,,2762,,,2018,1
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,73209,,,,,,,2020,9
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,97200,,,,,,,,2020,10
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,,4687,,,,,,,2020,1
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,60024,,,,,,,,2020,9
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,58107,,,,,,,2021,6
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,GRANEL LIQUIDO,,4639,,,,,,,2019,2
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,120379,,,,,,,,2019,8
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,14318,39206,,,,,,,2018,5
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,64530,,,,,,,2020,4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,24802,34202,,,,,,,2020,1
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,5099,,,2018,8
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,5291,,,2019,1
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,7890,1933,,,,1439,,,2018,3
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,CARBON AL GRANEL,22000,,,,,,,,2019,8
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,11946,,,,,1246,,,2019,8
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GENERAL,,,,,,6997,,,2021,4
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,91641,,,,2018,6
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,3411,,,,,,,,2018,10
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,144464,162007,1197035,,,47894,,,2020,7
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,36290,,,,,,,2018,4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,15767,,,,,,,,2019,6
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,25656,,,,,,,2018,2
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,,14201,,,,,,,2019,4
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,99127,,,,2021,1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,29725,25937,1049,,,34709,,,2019,11
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,3336036,,,,,,,,2020,2
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,707,,,2019,10
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,71632,,,,,,,2020,7
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,GRANEL LIQUIDO,,5692,,,,,,,2020,12
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,23100,,,,,,,2020,9
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,3337,10350,,,,,,,2019,8
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,4125,,,2020,3
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,GRANEL LIQUIDO,,3534,,,,,,,2020,1
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,117758,,,,,,,2018,10
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,70972,,,,2021,2
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,26721,,,,,,,,2020,8
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,36638,,,,,,,2018,4
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,3769,1041,,,,,,,2018,3
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,405,,,,10089,,,2021,1
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,189,10551,,,,,,,2020,7
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,94514,,,2949,,,,2020,12
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,49757,56918,255509,,,,,,2018,2
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GRANEL SOLIDO DIFER. DE CARBON,,2986,,,,,,,2020,12
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,28000,,,,,,,,2019,10
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,0,,,,2021,5
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,86971,106488,430658,,,25243,,,2020,8
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,5422,,,,,4546,,,2020,11
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,80200,123989,9520,,,,,,2020,2
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,2424,,,2020,6
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,4497,7257,272,,,,,,2020,10
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,113688,,,,,,,2020,8
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,108392,,,,,,,,2020,11
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,148756,,,,,,,2019,2
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,6798,,,,,,,2019,9
